tweet,sentiment,
PBNU tolak TEGAS!!!Kampanye anti vaksin Covid-19. Marilah kita ikuti program pemerintah demi kemaslahatan umat. Pemerintah telah  melakukan yang terbik untuk masyarakat di era pandemi ini.  #VaksinasiDimulai  #JokowiDiVaksin  https://t.co/whoitUzm2g,pos,
Sebuah unggahan beredar di medsos yang mencatut nama Kepala Staf Kepresidenan Moeldoko terkait vaksin COVID-19 untuk Presiden Joko Widodo. Cek faktanya!  https://t.co/unZNpZCfeg,netral,
"Maunya manusia tuch semau-maunya...  Maunya pandemic Covid-19 cepat berakhir, but ketika diajak berupaya utk mengakhiri (social distancing &amp; vaksin) malah semau-maunya (apatis tolak).  Maumu apa kawan⁉️",neg,
"@sudjiwotedjo Kemarin Jokowi di Vaksin Covid-19, menurut sampean di Edit apa tidak....⁉️, Komentarnya yg penuh kebencian kedengkian ditunggu....‼️‼️‼️",neg,
"W takutnya, si ra kan baru sekali divaksin, udh nongkrong2 gak pake masker, tau2 kena covid kan cobaaaa.. Blunder yang ada ini efeknyaaa. Harusnya dibuat perjanjian abis vaksin, jangan pergi ke tempat ramai, ataupun kalo mesti, pakailah masker.",neg,
@detikcom Ingat bu ning anda dipilih rakyat bukan dipilih keluarga anda...rakyat butuh solusi untuk pandemi covid 19...memang hak anda untuk menolak vaksin...tapi anda wakil rakyat yg seharusnya memberikan semangat...bukan malah membuat resah rakyat...ingat ucapan mu itu do'a mu...,neg,
"DINKES Provinsi Sumbar mendistribusikan vaksin covid Sinovac ke Kota Padang dan Kabupaten Pesisir Selatan (Pesel), Rabu (13/1). Dua daerah ini otomatis lebih dahulu melakukan vaksinasi dari 17 kabupaten/kota lainnya di Sumbar.   https://t.co/nlwtqJESJo",netral,
Pemkot Tangsel telah menerima vaksin Covid-19 Sinovac sebanyak 8.920 dosis dan disimpan di gedung farmasi Dinkes Tangsel.  https://t.co/4aOl4uI70M,pos,
Riau Kembali Terima 22.840 Dosis Vaksin Covid-19   https://t.co/kmrHsHu0S5,pos,
Lagu trending viral sriwijaya waria jakarta jogja surabaya bandung vcs rifaiju lucu video tol kon prank kuli mandi lokal cowok straight banjir longsor covid spy kereta bandara +62 kamis oppo #sj182 blackbox vaksin tiktok ganteng muscle gay samsung galaxy raffi  https://t.co/x39ewT3EFT,netral,
"Kehadiran vaksin covid 19  di Indonesia membawa harapan bagi masyarakat yg sudah lama merasa berada dalam kehidupan ""Tak Biasa "". Bagaimana membuat masyarakat agar tetap  berada dalam Protokol Kesehatan, meskipun sudah ada vaksin?  [TALK] Ahli kesehatan dr Ari Fahrial Syam  https://t.co/JZvUp522HQ",pos,
"Cek Nama Penerima Vaksin Covid-19 via  https://t.co/jxDWtLKQfR, BPOM Jelaskan Efek Sampingnya   https://t.co/VYuLskAaO0  https://t.co/OY02JY29Ga",netral,
"Kamu rela di suntik Vaksin Covid-19 merk Sinovac dari China, gegara khawatir masa depan kehidupan kamu terhambat dan merasa akan dihambat oleh senior-senior kamu yang sudah menjadi pejabat hasil dari judi pemilu coblos.",neg,
"Penyanyi Sherina Munaf menyampaikan pesan penting kepada Raffi Ahmad yang baru menjalani vaksin covid-19 di Istana Kepresidenan, Jakarta pada Rabu (13/1). #Sherina  https://t.co/pKwZC5Xstn",netral,
"Sedikit kecewa dengan mas Raffi, beredar foto semalam nongkrong2 dengan prokes yang cukup tidak aman. Ayolah, setelah di vaksin bukan berarti bebas covid :)",neg,
#SelamatPagiJogja l Headline Tribun Jogja l Narti divaksin bareng Jokowi. Tersenyum setelah disuntik vaksin Covid-19  #Radio #SonoraFmJogja,pos,
"BESOK 10 pejabat dan Forum Koordinasi Pimpinan Daerah (Forkopimda) di Kota Palangka Raya, akan di vaksin Covid-19 Sinovac pertama. Lalu dilanjutkan  tenaga kesehatan (nakes).   https://t.co/S7yhhwyfx5",netral,
"pak presiden, vaksin covid gada yg tablet apa sirop gitu yaa? takut disuntik saya pak",neg,
"Nah!!! Ini lhoooo! He got the privilege to do vaccination earlier than others, mbok yo onok tanggung jawabe Raffi iki wes diomongi sisan kan kalau habis vaksin butuh waktu buat membentuk antibody dan vaksin gak bikin kebal covid",neg,
"Lahh.. Aneh banget tuh sanksi UU nya. Kalau Vaksinnya belum jelas ampuh atasi corona, masa dipaksa Vaksin? Gila kali. Sampai sekarang belum ada negara yg aman covid karena Vaksin.",neg,
"13 Jan 2021, 13:06 WIB.  Jokowi Disuntik Vaksin Covid-19, Saham Farmasi Boncos Berjamaah.  https://t.co/NEjRvDZcjT",netral,
"@siivanf Vaksinnya 2 kali.. kalopun yang udah divaksin jadi kebal covid, orang2 yang belum vaksin tetap berisiko ketularan dari dia..",netral,
"@bukanakunambist @RawLoveSick @kopiganja Vaksin itu bukan obat. Siapapun yg sdh divaksin bisa tetap kena covid. Tujuan vaksin untuk mencegah kematian, sakit dan menularkan ke org lain. Jd kalaupun dia kena covid tapi aman2 saja dan tdk menularkan ke yg lain. Maka disitu efektivitas vaksin berhasil",pos,
Terungkap Kenapa Pemerintah Pilih SINOVAC Buatan China untuk Vaksin Covid-19    https://t.co/F8W2kOdZgn,netral,
"@ernestprakasa Semoga juga tetap dibarengi dg protokol kesehatan minimal 3M. Penting juga kalo dimulai dr public figure sebagai contoh n panutan. Krn vaksin ini bakal tuntas setahunan. Itupun belum tentu terhindar dr covid, tapi resiko terinfeksi juga kecil drpd yg ga vaksin.",pos,
@flaminkkobugi He eh kok malah party party hadeeeh dan gak adilnya ertong yg party2 kagak kena covid yee  kapan nik vaksin dpt gak tahap 1?,neg,
#Humaniora Jambi dapat tambahan 11.200 dosis vaksin COVID-19  https://t.co/lgVEO8DMBh,pos,
#Dunia Sinovac tingkatkan produksi vaksin COVID hingga satu miliar dosis  https://t.co/zza9eyRtvP,pos,
"Vaksin Covid adalah kabar baik. Jika ada org yg tidak mau terima vaksin, biarkan aja. Itu hanya masalah waktu. Ntar ujung2nya juga pada mau.",pos,
"Penerima Vaksin Covid-19 Akan Disuntik Dua Kali, Jubir Vaksinasi dari Kemenkes Angkat Bicara  https://t.co/YpwBDqg3eS",netral,
"Pemerintah dalam waktu dekat akan menerima vaksin COVID-19 dari The Global Alliance for Vaccines and Immunisation (GAVI) sebanyak 54 juta hingga 108 juta dosis. Rencananya, vaksin tersebut tiba pada akhir Februari atau awal Maret di tanah air. #MostUpdate1058",netral,
Dapat dipastikan vaksin Covid-19 tidak akan memberikan efek samping berupa perubahan penerimanya menjadi Titan #VaksinasiDimulai,netral,
"Raffi abis divaksin pertama okelah menginfluence kaum milenial dsb,tapi semisal habis vaksin dia ""amitamit"" kena covid pasti bikin orang mikir lg mau suntik vaksin stlh tau yg disuntik vaksin aja kena,pdhl dia baru aja suntik udah kelayapan kayak gitu. Harusnya ttp prokes dong!",neg,
"Sudah Disuntik Vaksin Covid-19, Apa Kabar Jokowi IHSG?  https://t.co/DbFqsqIQlV",netral,
"Ngerumpiin vaksin sama emak dari adzan subuh sampe ini matahari udah mentereng. Ternyata nyokap gue mengalami hidup dalam 3 era ditemukan vaksin MMR, Hep B, dan Syno--Covid.",netral,
"Ya menurut opini pribadi, pilih saja yang tersedia dulu. Lah lagian yang lebih penting kan 5M dan 3T  Vaksin tidak sepenuhnya mencegah, tapi bisa mengurangi gejala berat dan kematian pada yang terpapar Covid-19.",pos,
Cek Nama Penerima Vaksin Covid-19 via  https://t.co/jxDWtLKQfR  https://t.co/nIAj4daXkw,netral,
@sherinasinna @hngrykttn Sepertinya bahkan orang2 ini juga gatau kalau vaksin COVID-19 itu diinjeksikan sebanyak 2 KALI.......,neg,
@ristianjani_ @Sir_AmirSyarif Kalo yg belum chekup kesehatan dan gak tau kalo punya penyakit² dan kelainan yg gak ngebolehin org bisa trima vaksin gmna tuh? Atau yg OTG dan gak pernah di tes udah sembuh tuh ceritanya gimana bisa tau kalo dia pernah kena covid?,netral,
"@nabanmudrik @ayunda_NF Sekarang covid sudah masuk mas, dan pak jokowi dapat suntikan vaksin kemarin hehe",pos,
"@ernestprakasa Yakin warga 62 banyak yg kl udah pada divaksin kelakuannya juga ky gini.   Vaksin = kebal covid , bebas ngapa2in ga perlu prokes.",neg,
"@jokowi Terima kasih bapak Presiden,sudah turut serta memberikan pemahaman tentang penting dan amannya suntikan vaksin covid,semoga hal ini bisa terus disosialisasikan oleh media massa agar semakin menghilangkan keraguan masyarakat",pos,
@ernestprakasa Bukanya tujuan dr vaksin ini untuk terbebas dr covid y?? Rafi udah vaksin,netral,
"Anies dan Riza tak Disuntik Vaksin Covid, Kok Bisa? – Republika –  https://t.co/lLe99pKcCV  https://t.co/w52clX19EO",neg,
"Anies dan Riza tak Disuntik Vaksin Covid, Kok Bisa? – Republika  https://t.co/ehjPZteXQb",neg,
"Relawan Suntik Vaksin Covid-19 Sendiri: Biar kalau Terjadi Apa-apa, Pak Pangdam dan Semuanya Aman    https://t.co/RpONnzb5u0",pos,
Raffi Ahmad mengaku menunggu-nunggu hadirnya vaksin Covid-19.  https://t.co/s6m6jHiAXA,netral,
"Nooooo...  Plis lah di inget dari awal gimana sikap pemerintah menangani pandemi, ga kompeten ga konsisten, mulai dari goyang ubur2 sampe kalung anti covid, kemudian ngasih solusi vaksin 'kualitas paling buruk' dan berharap rakyat ga cerewet dan percaya.  Ngimpi namanya....",neg,
@dr_koko28 apa yakin setelah vaksin bebas covid,netral,
Satgas Covid-19: Vaksin Sinovac Teruji Minim Efek Samping dan Berkhasiat  https://t.co/kjtkheOo4J  https://t.co/Wxh09rkzZl,pos,
@Talithazchan @IrfanSfdn @iderakat Mungkin dengan adanya vaksin tidak serta merta langsung menangalkan label pandemi. Namun setidaknya bisa mengurangi efek penularan dari covid bagi orang2 yang imun nya lemah.,pos,
Jokowi Disuntik Vaksin Covid-19 Sinovac: Enggak Terasa Sama Sekali  https://t.co/ceOhXza9oK  https://t.co/DmvxKlqXAt,pos,
Dr. Habib Abdul Mutholib Aljufri adalah dokter yg menyuntikkan vaksin anti covid-19 ke Presiden RI. Beliau Wakil Dokter Kepresidenan dan guru besar Fakultas Kedokteran Universitas Indonesia.,netral,
"@henrysubiakto Bgmn kalau rakyat yg bersedia di vaksin tp pmrntah blm bs memvaksin krn stok blm ada/tunggu antrian dll, terus rakyat tsb positif covid-19 apa pmrntah tdk mau nanggung biaya nya ?",neg,
"Vaksin COVID-19 Tak Jamin Orang Bebas Dari Virus Corona, 3M Jangan Kendur - Health  https://t.co/4ERX4OLTsh  https://t.co/NOCTJBfw1c",netral,
Katanya kalau udah pernah positif covid ga boleh d vaksin Ini wan toa @aniesbaswedan kok siap² aje????,neg,
@axdwin Siap .. saya juga udah dapet vaksin covid yg cocok buat sata  https://t.co/ny6djwFcWz,pos,
Top 3: Cerita Ketua Kadin Disuntik Vaksin Covid-19  https://t.co/sndhN7NpmB,netral,
Diharapkan sebanyak 70% dari seluruh penduduk Indonesia memperoleh vaksin tersebut agar tercipta Kekebalan Komunal yang akan mencegah infeksi virus korona dan pendemi Covid-19 akan terkendali #VaksinDimulai #JokowiDiVaksin  https://t.co/cCaJeH2REp,netral,
"@firdzaradiany Bukanya tujuan utama dr vaksin untuk terbebas dr covid, udah d vaksin berarti udah bebas dong? Kecuali org yg g percaya khasiat vaksin nya, ya silahkan mengurung diri terus",neg,
"Mata Najwa - Vaksin Siapa Takut (Part 7)  https://t.co/pTEmjBvLdl  Pemerintah telah menjanjikan vaksin COVID-19 gratis untuk semua masyarakat. Tapi, vaksin mandiri (alias masyarakat bayar sendiri) juga dibuka kemungkinannya. #MataNajwaVaksinSiapaTakut",netral,
"Mata Najwa - Vaksin Siapa Takut (Part 4)  https://t.co/eBVDSuA5B0  Ada hukuman bagi masyarakat yang menolak vaksin di masa darurat pandemi COVID-19. Bagi Kang Emil, saat ini fokus ke sosialisasi. #MataNajwaVaksinSiapaTakut",neg,
Mata Najwa - Vaksin Siapa Takut (Part 1)  https://t.co/nTyizmDeU7  Jokowi disuntik vaksin COVID-19 pertama kali. Sebagian warganet berspekulasi yang disuntikkan adalah Vitamin C. Ini kata dokter yang menyuntik presiden. #MataNajwaVaksinSiapaTakut,neg,
"Mata Najwa - Vaksin Siapa Takut (Part 7)  https://t.co/3J7upoShj8  Pemerintah telah menjanjikan vaksin COVID-19 gratis untuk semua masyarakat. Tapi, vaksin mandiri (alias masyarakat bayar sendiri) juga dibuka kemungkinannya. #MataNajwaVaksinSiapaTakut",netral,
"Mata Najwa - Vaksin Siapa Takut (Part 4)  https://t.co/08KYyBkWeC  Ada hukuman bagi masyarakat yang menolak vaksin di masa darurat pandemi COVID-19. Bagi Kang Emil, saat ini fokus ke sosialisasi. #MataNajwaVaksinSiapaTakut",neg,
Mata Najwa - Vaksin Siapa Takut (Part 1)  https://t.co/0zj6yCNnny  Jokowi disuntik vaksin COVID-19 pertama kali. Sebagian warganet berspekulasi yang disuntikkan adalah Vitamin C. Ini kata dokter yang menyuntik presiden. #MataNajwaVaksinSiapaTakut,neg,
@boecharikarim @MrsRachelIn Ada vaksin Covid bikinan arab apa ga bang.....,neg,
@RawLoveSick @kopiganja Ujicoba efektivitas vaksin sudah dilakukan di Bandung dan arahan presiden setelah di vaksin pun agar tetap menjalankan 3m justru apabila dia kena covid karena tidak menjalankan 3m malah hancur semua kepercayaan yang dibangun pemerintah ttg efektivitas vaksin,neg,
Vaksin Covid-19 Mulai Didistribusikan ke Kota dan Kabupaten di Jawa Timur #BukanBeritaBiasa   https://t.co/LAC0oG41oP,netral,
@jcowacko Kalo sudah di suntik vaksin covid boleh dong gak pakai masker,neg,
Shin Tae-yong Jadi Salah Satu Penerima Vaksin COVID-19 di Indonesia  https://t.co/6AMZ9VEoVM,netral,
Pemerintah sudah mulai melakukan program vaksinasi Covid-19. Hal itu ditandai dengan penyuntikan vaksin kepada Presiden Jokowi.  https://t.co/pcuetczrLM,netral,
Kesan Samping Vaksin Covid,netral,
"@jalurvip Waahhh ra pro sing nyuntik. Lalu kalo vaksin covid ini, kira-kira reaksimu pas mau disuntik gumana mas?",netral,
Penyuntikan Vaksin Covid-19(Source: KOMPASTV) click here  https://t.co/7MLQZqGqOp,netral,
"Masa iya sih tim vaksin dan tim komunikasi pemerintah gak ngasih tau atau peringatan keras ke Raffi Ahmad kalau masih wajib 3M setelah vaksin. blunder terus nih pemerintah. kalo misalnya RA ini nantinya positif Covid, yah ambyar sudah kepercayaan masyarakat untuk di vaksin.",neg,
"Nggak setuju sih kalau vaksin di wajibkan sampai ada denda, mau kena covid juga hak mereka. Blm tau aja gimana seremnya di IGD lihat kondisi pasien lain dan bisa bikin down mental, belum tau aja penuhnya kamar RS saat ini.  Kapan penyakit ini stop?",neg,
"Vaksin Aman dan Halal   Indonesia Wajib Bebas Covid. Kita Vaksin, Kita #DukungSehatkanBangsa  https://t.co/y2vbuhKKET",pos,
"Vaksin Aman dan Halal   Indonesia Wajib Bebas Covid. Kita Vaksin, Kita #DukungSehatkanBangsa  https://t.co/TduSaPso44",pos,
"Vaksin Aman dan Halal   Indonesia Wajib Bebas Covid. Kita Vaksin, Kita #DukungSehatkanBangsa  https://t.co/uTBIvljGwp",pos,
"Vaksin Aman dan Halal   Indonesia Wajib Bebas Covid. Kita Vaksin, Kita #DukungSehatkanBangsa  https://t.co/Gyz3NOpXeU",pos,
